"sample.num","mean","sd","ci.low","ci.up","mean.in.ci"
42,67.3666666666667,4.71595482220276,65.6791149166827,69.0542184166506,"yes"
43,64.7666666666667,5.81723558789374,62.6850338973702,66.8482994359632,"no"
44,67.6666666666667,4.48240493741792,66.0626881339073,69.2706451994261,"yes"
45,68.7666666666667,4.67335317358505,67.0943594407266,70.4389738926067,"yes"
46,65.3,5.66994496111461,63.271073536075,67.328926463925,"no"
47,66.7333333333333,3.94735470858679,65.3208165477778,68.1458501188889,"yes"
48,69.0333333333333,5.96243026899633,66.8997442694113,71.1669223972554,"yes"
49,68.1,5.78553487528193,66.0297109765748,70.1702890234252,"yes"
50,68,5.81911238639685,65.9176956393254,70.0823043606746,"yes"
51,67.6333333333333,4.97915193813048,65.8515994356571,69.4150672310095,"yes"
52,68.3333333333333,5.96734408278079,66.197985916042,70.4686807506247,"yes"
53,68.0666666666667,4.89146570892705,66.3163103065455,69.8170230267878,"yes"
54,67.3333333333333,4.88723413305157,65.5844911953672,69.0821754712994,"yes"
55,64.7333333333333,4.55565834852722,63.1031418857411,66.3635247809255,"no"
56,67.5,5.37394737086507,65.5769929670808,69.4230070329192,"yes"
57,67.3333333333333,5.8682860878791,65.2334327129153,69.4332339537514,"yes"
58,68.1,5.09462191077936,66.2769464625561,69.9230535374439,"yes"
59,68.0333333333333,5.63537676330233,66.0167767128253,70.0498899538414,"yes"
60,69.5,4.65165895509148,67.8354558077962,71.1645441922038,"no"
61,65.7,5.35079755576294,63.7852768698026,67.6147231301974,"yes"
62,66.8333333333333,4.27569984860985,65.3033219074483,68.3633447592184,"yes"
63,64.9333333333333,5.17909147493526,63.0800533059874,66.7866133606793,"no"
64,65.2,5.18884745690548,63.3432289034926,67.0567710965074,"no"
65,67.1666666666667,5.57756177933502,65.1707984923053,69.162534841028,"yes"
66,66.3333333333333,4.97811301553132,64.5519712025032,68.1146954641635,"yes"
67,68.5333333333333,7.1714632438207,65.967105325788,71.0995613408787,"yes"
68,68.9666666666667,4.89534144019515,67.2149234194081,70.7184099139253,"yes"
69,68.0666666666667,4.45617226601125,66.4720752023182,69.6612581310151,"yes"
70,66.3,5.38932533683084,64.3714901337512,68.2285098662488,"yes"
71,67.4333333333333,4.73201373867284,65.7400350794888,69.1266315871779,"yes"
72,67.3333333333333,4.80181957848979,65.6150558395293,69.0516108271374,"yes"
73,66.7666666666667,5.84679890805767,64.6744549935089,68.8588783398244,"yes"
74,70.3333333333333,5.38409748677775,68.4066941948243,72.2599724718423,"no"
75,66.9,5.93266817917014,64.7770609674423,69.0229390325577,"yes"
76,69.3333333333333,5.2149211210574,67.4672320673848,71.1994345992819,"no"
77,68.4,4.77493455452533,66.6913430116821,70.1086569883179,"yes"
78,68.1666666666667,5.30506156052119,66.268309651438,70.0650236818954,"yes"
79,66.9666666666667,4.52184989100496,65.3485731979158,68.5847601354175,"yes"
80,67.2333333333333,7.040196575103,64.714077636775,69.7525890298917,"yes"
81,67.5666666666667,4.87557836239108,65.8219954160218,69.3113379173115,"yes"
82,67.3,4.14520911664172,65.8166832248043,68.7833167751957,"yes"
83,66.6333333333333,5.46766881759042,64.6767891276898,68.5898775389769,"yes"
84,67.1666666666667,6.1030423918552,64.9827611253937,69.3505722079396,"yes"
85,67.4333333333333,4.71010164128805,65.7478760787523,69.1187905879144,"yes"
86,67.6666666666667,5.29367438607128,65.7723844246058,69.5609489087275,"yes"
87,66.4,5.61770599886245,64.3897666651421,68.4102333348579,"yes"
88,67.1333333333333,5.26362490366067,65.2498039628626,69.016862703804,"yes"
89,66.2666666666667,5.27801774005808,64.3779869804772,68.1553463528561,"yes"
90,67.8333333333333,4.45733284509403,66.2383265687253,69.4283400979414,"yes"
91,67.8666666666667,5.2505062700614,65.9878316526779,69.7455016806555,"yes"
92,67.9333333333333,4.88441104580356,66.1855014056015,69.6811652610652,"yes"
93,66.8333333333333,5.31155755670226,64.9326517984397,68.734014868227,"yes"
94,68.6333333333333,5.49283755155895,66.6677827774055,70.5988838892611,"yes"
95,67.8666666666667,5.50694441424727,65.8960681275172,69.8372652058161,"yes"
96,68.4,6.35501431127828,66.1259291222044,70.6740708777956,"yes"
97,67.3333333333333,6.1157418888124,65.1448834189436,69.5217832477231,"yes"
98,67.2333333333333,5.4246139753543,65.2921958220073,69.1744708446594,"yes"
99,68.4666666666667,5.57539751688293,66.4715729494462,70.4617603838871,"yes"
100,67.2,6.58839104423259,64.8424178654281,69.5575821345719,"yes"
