"DistNum","DistName","FreeLunch","AvgMCA"
548,"PELICAN RAPIDS PUBLIC SCHOOL DIST.",0.358208955223881,1141.6
549,"PERHAM-DENT PUBLIC SCHOOL DISTRICT",0.145299145299145,1149.1
550,"UNDERWOOD PUBLIC SCHOOL DISTRICT",0.21875,1145
553,"NEW YORK MILLS PUBLIC SCHOOL DIST.",0.260869565217391,1150.1
564,"THIEF RIVER FALLS SCHOOL DISTRICT",0.194630872483221,1146.2
577,"WILLOW RIVER PUBLIC SCHOOL DISTRICT",0.194444444444444,1143.3
578,"PINE CITY PUBLIC SCHOOL DISTRICT",0.24031007751938,1144.8
581,"EDGERTON PUBLIC SCHOOL DISTRICT",0.214285714285714,1153
592,"CLIMAX-SHELLY PUBLIC SCHOOLS",0.384615384615385,1140.1
593,"CROOKSTON PUBLIC SCHOOL DISTRICT",0.226415094339623,1143.7
595,"EAST GRAND FORKS PUBLIC SCHOOL DIST",0.212121212121212,1144.2
599,"FERTILE-BELTRAMI SCHOOL DISTRICT",0.103448275862069,1147.9
600,"FISHER PUBLIC SCHOOL DISTRICT",0.111111111111111,1147.6
601,"FOSSTON PUBLIC SCHOOL DISTRICT",0.175438596491228,1150.1
621,"MOUNDS VIEW PUBLIC SCHOOL DISTRICT",0.183537263626251,1153.2
622,"NORTH ST PAUL-MAPLEWOOD OAKDALE DIS",0.370499419279907,1147.1
623,"ROSEVILLE PUBLIC SCHOOL DISTRICT",0.304347826086957,1147.5
624,"WHITE BEAR LAKE SCHOOL DISTRICT",0.187607573149742,1150.6
625,"ST. PAUL PUBLIC SCHOOL DISTRICT",0.633345628919218,1138.8
630,"RED LAKE FALLS PUBLIC SCHOOL DIST.",0.166666666666667,1146
640,"WABASSO PUBLIC SCHOOL DISTRICT",0.171428571428571,1151.5
656,"FARIBAULT PUBLIC SCHOOL DISTRICT",0.380952380952381,1143.5
659,"NORTHFIELD PUBLIC SCHOOL DISTRICT",0.133986928104575,1152.9
671,"HILLS-BEAVER CREEK SCHOOL DISTRICT",0.193548387096774,1146.8
676,"BADGER PUBLIC SCHOOL DISTRICT",0.3,1152.4
682,"ROSEAU PUBLIC SCHOOL DISTRICT",0.166666666666667,1149.7
690,"WARROAD PUBLIC SCHOOL DISTRICT",0.168674698795181,1142.7
695,"CHISHOLM PUBLIC SCHOOL DISTRICT",0.363636363636364,1139.7
696,"ELY PUBLIC SCHOOL DISTRICT",0.102040816326531,1151.2
698,"FLOODWOOD PUBLIC SCHOOL DISTRICT",0.25,1135.4
700,"HERMANTOWN PUBLIC SCHOOL DISTRICT",0.0552147239263804,1149.6
701,"HIBBING PUBLIC SCHOOL DISTRICT",0.208860759493671,1148.4
704,"PROCTOR PUBLIC SCHOOL DISTRICT",0.156028368794326,1147.1
706,"VIRGINIA PUBLIC SCHOOL DISTRICT",0.175257731958763,1149.1
709,"DULUTH PUBLIC SCHOOL DISTRICT",0.3125,1145.4
712,"MOUNTAIN IRON-BUHL SCHOOL DISTRICT",0.272727272727273,1146.4
716,"BELLE PLAINE PUBLIC SCHOOL DISTRICT",0.108333333333333,1146.3
717,"JORDAN PUBLIC SCHOOL DISTRICT",0.127272727272727,1150.3
719,"PRIOR LAKE-SAVAGE AREA SCHOOLS",0.0766961651917404,1154.9
720,"SHAKOPEE PUBLIC SCHOOL DISTRICT",0.209876543209877,1149.1
721,"NEW PRAGUE AREA SCHOOLS",0.073394495412844,1152.4
726,"BECKER PUBLIC SCHOOL DISTRICT",0.0723981900452489,1150.7
727,"BIG LAKE PUBLIC SCHOOL DISTRICT",0.121457489878543,1143.9
728,"ELK RIVER PUBLIC SCHOOL DISTRICT",0.0984555984555985,1152.9
738,"HOLDINGFORD PUBLIC SCHOOL DISTRICT",0.0707070707070707,1147.9
739,"KIMBALL PUBLIC SCHOOL DISTRICT",0.153846153846154,1151.7
740,"MELROSE PUBLIC SCHOOL DISTRICT",0.220588235294118,1154.2
741,"PAYNESVILLE PUBLIC SCHOOL DISTRICT",0.2,1151.4
742,"ST. CLOUD PUBLIC SCHOOL DISTRICT",0.511713933415536,1136.9
743,"SAUK CENTRE PUBLIC SCHOOL DISTRICT",0.192771084337349,1152.3
745,"ALBANY PUBLIC SCHOOL DISTRICT",0.103703703703704,1147.5
748,"SARTELL-ST. STEPHEN SCHOOL DISTRICT",0.0944055944055944,1156
750,"ROCORI PUBLIC SCHOOL DISTRICT",0.131313131313131,1149.1
756,"BLOOMING PRAIRIE PUBLIC SCHOOL DIST",0.121951219512195,1148.8
761,"OWATONNA PUBLIC SCHOOL DISTRICT",0.255639097744361,1150.4
763,"MEDFORD PUBLIC SCHOOL DISTRICT",0.0512820512820513,1147.1
768,"HANCOCK PUBLIC SCHOOL DISTRICT",0.217391304347826,1151.7
